"TABLE_NAME","COLUMNS"
"SAKILA.ACTOR","ACTOR_ID, FIRST_NAME, LAST_NAME, LAST_UPDATE"
"SAKILA.ADDRESS","ADDRESS_ID, ADDRESS, ADDRESS2, DISTRICT, CITY_ID, POSTAL_CODE, PHONE, LAST_UPDATE"
"SAKILA.CATEGORY","CATEGORY_ID, NAME, LAST_UPDATE"
"SAKILA.CITY","CITY_ID, CITY, COUNTRY_ID, LAST_UPDATE"
"SAKILA.COUNTRY","COUNTRY_ID, COUNTRY, LAST_UPDATE"
"SAKILA.CUSTOMER","CUSTOMER_ID, STORE_ID, FIRST_NAME, LAST_NAME, EMAIL, ADDRESS_ID, ACTIVE, CREATE_DATE, LAST_UPDATE"
"SAKILA.FILM","FILM_ID, TITLE, RELEASE_YEAR, LANGUAGE_ID, ORIGINAL_LANGUAGE_ID, RENTAL_DURATION, RENTAL_RATE, LENGTH, REPLACEMENT_COST, RATING, SPECIAL_FEATURES, LAST_UPDATE, DESCRIPTION"
"SAKILA.FILM_ACTOR","ACTOR_ID, FILM_ID, LAST_UPDATE"
"SAKILA.FILM_CATEGORY","FILM_ID, CATEGORY_ID, LAST_UPDATE"
"SAKILA.INVENTORY","INVENTORY_ID, FILM_ID, STORE_ID, LAST_UPDATE"
"SAKILA.LANGUAGE","LANGUAGE_ID, NAME, LAST_UPDATE"
"SAKILA.PAYMENT","PAYMENT_ID, CUSTOMER_ID, STAFF_ID, RENTAL_ID, AMOUNT, PAYMENT_DATE, LAST_UPDATE"
"SAKILA.RENTAL","RENTAL_ID, RENTAL_DATE, INVENTORY_ID, CUSTOMER_ID, RETURN_DATE, STAFF_ID, LAST_UPDATE"
"SAKILA.STAFF","STAFF_ID, FIRST_NAME, LAST_NAME, ADDRESS_ID, PICTURE, EMAIL, STORE_ID, ACTIVE, USERNAME, PASSWORD, LAST_UPDATE"
"SAKILA.STORE","STORE_ID, MANAGER_STAFF_ID, ADDRESS_ID, LAST_UPDATE"

