"TABLE_NAME","COLUMNS"
"ADVENTUREWORKS.COUNTRY_REGION_CURRENCY","COUNTRY_REGION_CODE, CURRENCY_CODE, MODIFIED_DATE"
"ADVENTUREWORKS.CURRENCY_RATE","CURRENCY_RATE_ID, CURRENCY_RATE_DATE, FROM_CURRENCY_CODE, TO_CURRENCY_CODE, AVERAGE_RATE, END_OF_DAY_RATE, MODIFIED_DATE"
"ADVENTUREWORKS.PRODUCT","PRODUCT_ID, NAME, PRODUCT_NUMBER, MAKE_FLAG, FINISHED_GOODS_FLAG, COLOR, SAFETY_STOCK_LEVEL, REORDER_POINT, STANDARD_COST, LIST_PRICE, C_SIZE, SIZE_UNIT_MEASURE_CODE, WEIGHT_UNIT_MEASURE_CODE, WEIGHT, DAYS_TO_MANUFACTURE, PRODUCT_LINE, CLASS, STYLE, PRODUCT_SUBCATEGORY_ID, PRODUCT_MODEL_ID, SELL_START_DATE, SELL_END_DATE, DISCONTINUED_DATE, ROW_GUID, MODIFIED_DATE"
"ADVENTUREWORKS.PRODUCT_CATEGORY","PRODUCT_CATEGORY_ID, NAME, ROW_GUID, MODIFIED_DATE"
"ADVENTUREWORKS.PRODUCT_DESCRIPTION","PRODUCT_DESCRIPTION_ID, DESCRIPTION, ROW_GUID, MODIFIED_DATE"
"ADVENTUREWORKS.PRODUCT_MODEL_DESCRIPTION_CULTURE","PRODUCT_MODEL_ID, PRODUCT_DESCRIPTION_ID, CULTURE_ID, MODIFIED_DATE"
"ADVENTUREWORKS.PRODUCT_REVIEW","PRODUCT_REVIEW_ID, PRODUCT_ID, REVIEWER_NAME, REVIEW_DATE, EMAIL_ADDRESS, RATING, COMMENTS, MODIFIED_DATE"
"ADVENTUREWORKS.PRODUCT_SUBCATEGORY","PRODUCT_SUBCATEGORY_ID, PRODUCT_CATEGORY_ID, NAME, ROW_GUID, MODIFIED_DATE"
"ADVENTUREWORKS.SALES_ORDER_DETAIL","SALES_ORDER_ID, SALES_ORDER_DETAIL_ID, CARRIER_TRACKING_NUMBER, ORDER_QTY, PRODUCT_ID, SPECIAL_OFFER_ID, UNIT_PRICE, UNIT_PRICE_DISCOUNT, ROW_GUID, MODIFIED_DATE"
"ADVENTUREWORKS.SALES_ORDER_HEADER","SALES_ORDER_ID, REVISION_NUMBER, ORDER_DATE, DUE_DATE, SHIP_DATE, STATUS, ONLINE_ORDER_FLAG, PURCHASE_ORDER_NUMBER, ACCOUNT_NUMBER, CUSTOMER_ID, SALES_PERSON_ID, TERRITORY_ID, BILL_TO_ADDRESS_ID, SHIP_TO_ADDRESS_ID, SHIP_METHOD_ID, CREDIT_CARD_ID, CREDIT_CARD_APPROVAL_CODE, CURRENCY_RATE_ID, SUB_TOTAL, TAX_AMT, FREIGHT, TOTALDUE, C_COMMENT, ROW_GUID, MODIFIED_DATE"
"ADVENTUREWORKS.SALES_PERSON","BUSINESS_ENTITY_ID, TERRITORY_ID, SALES_QUOTA, BONUS, COMMISSION_PCT, SALES_YTD, SALES_LAST_YEAR, ROW_GUID, MODIFIED_DATE"
"ADVENTUREWORKS.SALES_PERSON_QUOTA_HISTORY","BUSINESS_ENTITY_ID, SALES_QUOTA, ROW_GUID, QUOTA_DATE, MODIFIED_DATE"
"ADVENTUREWORKS.SALES_TERRITORY","TERRITORY_ID, NAME, COUNTRY_REGION_CODE, C_GROUP, SALES_YTD, SALES_LAST_YEAR, COST_YTD, COST_LAST_YEAR, ROW_GUID, MODIFIED_DATE"
