"TABLE_NAME","COLUMNS"
"BRAZILIAN_E_COMMERCE.OLIST_CUSTOMERS","CUSTOMER_ID, CUSTOMER_UNIQUE_ID, CUSTOMER_ZIP_CODE_PREFIX, CUSTOMER_CITY, CUSTOMER_STATE"
"BRAZILIAN_E_COMMERCE.OLIST_GEOLOCATION","GEOLOCATION_ZIP_CODE_PREFIX, GEOLOCATION_LAT, GEOLOCATION_LNG, GEOLOCATION_CITY, GEOLOCATION_STATE"
"BRAZILIAN_E_COMMERCE.OLIST_ORDERS","ORDER_ID, CUSTOMER_ID, ORDER_STATUS, ORDER_PURCHASE_TIMESTAMP, ORDER_APPROVED_AT, ORDER_DELIVERED_CARRIER_DATE, ORDER_DELIVERED_CUSTOMER_DATE, ORDER_ESTIMATED_DELIVERY_DATE"
"BRAZILIAN_E_COMMERCE.OLIST_ORDER_ITEMS","ORDER_ID, ORDER_ITEM_ID, PRODUCT_ID, SELLER_ID, PRICE, FREIGHT_VALUE, SHIPPING_LIMIT_DATE"
"BRAZILIAN_E_COMMERCE.OLIST_ORDER_PAYMENTS","ORDER_ID, PAYMENT_SEQUENTIAL, PAYMENT_TYPE, PAYMENT_INSTALLMENTS, PAYMENT_VALUE"
"BRAZILIAN_E_COMMERCE.OLIST_ORDER_REVIEWS","REVIEW_ID, ORDER_ID, REVIEW_SCORE, REVIEW_COMMENT_TITLE, REVIEW_COMMENT_MESSAGE, REVIEW_CREATION_DATE, REVIEW_ANSWER_TIMESTAMP"
"BRAZILIAN_E_COMMERCE.OLIST_PRODUCTS","PRODUCT_ID, PRODUCT_CATEGORY_NAME, PRODUCT_NAME_LENGTH, PRODUCT_DESCRIPTION_LENGTH, PRODUCT_PHOTOS_QTY, PRODUCT_WEIGHT_G, PRODUCT_LENGTH_CM, PRODUCT_HEIGHT_CM, PRODUCT_WIDTH_CM"
"BRAZILIAN_E_COMMERCE.OLIST_PRODUCTS_DATASET","C_INDEX, PRODUCT_ID, PRODUCT_CATEGORY_NAME, PRODUCT_NAME_LENGTH, PRODUCT_DESCRIPTION_LENGTH, PRODUCT_PHOTOS_QTY, PRODUCT_WEIGHT_G, PRODUCT_LENGTH_CM, PRODUCT_HEIGHT_CM, PRODUCT_WIDTH_CM"
"BRAZILIAN_E_COMMERCE.OLIST_SELLERS","SELLER_ID, SELLER_ZIP_CODE_PREFIX, SELLER_CITY, SELLER_STATE"
"BRAZILIAN_E_COMMERCE.PRODUCT_CATEGORY_NAME_TRANSLATION","PRODUCT_CATEGORY_NAME, PRODUCT_CATEGORY_NAME_ENGLISH"
