"TABLE_NAME","COLUMNS"
"CHINOOK.ALBUMS","ALBUM_ID, TITLE, ARTIST_ID"
"CHINOOK.ARTISTS","ARTIST_ID, NAME"
"CHINOOK.CUSTOMERS","CUSTOMER_ID, FIRST_NAME, LAST_NAME, COMPANY, ADDRESS, CITY, STATE, COUNTRY, POSTAL_CODE, PHONE, FAX, EMAIL, SUPPORT_REP_ID"
"CHINOOK.EMPLOYEES","EMPLOYEE_ID, LAST_NAME, FIRST_NAME, TITLE, REPORTS_TO, BIRTH_DATE, HIRE_DATE, ADDRESS, CITY, STATE, COUNTRY, POSTAL_CODE, PHONE, FAX, EMAIL"
"CHINOOK.GENRES","GENRE_ID, NAME"
"CHINOOK.INVOICES","INVOICE_ID, CUSTOMER_ID, INVOICE_DATE, BILLING_ADDRESS, BILLING_CITY, BILLING_STATE, BILLING_COUNTRY, BILLING_POSTAL_CODE, TOTAL"
"CHINOOK.INVOICE_ITEMS","INVOICE_LINE_ID, INVOICE_ID, TRACK_ID, UNIT_PRICE, QUANTITY"
"CHINOOK.MEDIA_TYPES","MEDIA_TYPE_ID, NAME"
"CHINOOK.PLAYLISTS","PLAYLIST_ID, NAME"
"CHINOOK.PLAYLIST_TRACK","PLAYLIST_ID, TRACK_ID"
"CHINOOK.TRACKS","TRACK_ID, NAME, ALBUM_ID, MEDIA_TYPE_ID, GENRE_ID, COMPOSER, MILLISECONDS, BYTES, UNIT_PRICE"
"CHINOOK.TRACK_INVOICE_SUMMARY","SUMMARY_ID, TRACK_ID, TRACK_NAME, ALBUM_ID, GENRE_ID, INVOICE_ID, INVOICE_DATE, CUSTOMER_ID, CUSTOMER_COUNTRY, UNIT_PRICE, QUANTITY"
