"TABLE_NAME","COLUMNS"
"E_COMMERCE.CUSTOMERS","CUSTOMER_ID, CUSTOMER_UNIQUE_ID, CUSTOMER_ZIP_CODE_PREFIX, CUSTOMER_CITY, CUSTOMER_STATE"
"E_COMMERCE.GEOLOCATION","GEOLOCATION_ZIP_CODE_PREFIX, GEOLOCATION_LAT, GEOLOCATION_LNG, GEOLOCATION_CITY, GEOLOCATION_STATE"
"E_COMMERCE.LEADS_CLOSED","MQL_ID, SELLER_ID, SDR_ID, SR_ID, WON_DATE, BUSINESS_SEGMENT, LEAD_TYPE, LEAD_BEHAVIOUR_PROFILE, HAS_COMPANY, HAS_GTIN, AVERAGE_STOCK, BUSINESS_TYPE, DECLARED_PRODUCT_CATALOG_SIZE, DECLARED_MONTHLY_REVENUE"
"E_COMMERCE.LEADS_QUALIFIED","MQL_ID, FIRST_CONTACT_DATE, LANDING_PAGE_ID, ORIGIN"
"E_COMMERCE.ORDERS","ORDER_ID, CUSTOMER_ID, ORDER_STATUS, ORDER_PURCHASE_TIMESTAMP, ORDER_APPROVED_AT, ORDER_DELIVERED_CARRIER_DATE, ORDER_DELIVERED_CUSTOMER_DATE, ORDER_ESTIMATED_DELIVERY_DATE"
"E_COMMERCE.ORDER_ITEMS","ORDER_ID, ORDER_ITEM_ID, PRODUCT_ID, SELLER_ID, SHIPPING_LIMIT_DATE, PRICE, FREIGHT_VALUE"
"E_COMMERCE.ORDER_PAYMENTS","ORDER_ID, PAYMENT_SEQUENTIAL, PAYMENT_TYPE, PAYMENT_INSTALLMENTS, PAYMENT_VALUE"
"E_COMMERCE.ORDER_REVIEWS","REVIEW_ID, ORDER_ID, REVIEW_SCORE, REVIEW_COMMENT_TITLE, REVIEW_COMMENT_MESSAGE, REVIEW_CREATION_DATE, REVIEW_ANSWER_TIMESTAMP"
"E_COMMERCE.PRODUCTS","PRODUCT_ID, PRODUCT_CATEGORY_NAME, PRODUCT_NAME_LENGHT, PRODUCT_DESCRIPTION_LENGHT, PRODUCT_PHOTOS_QTY, PRODUCT_WEIGHT_G, PRODUCT_LENGTH_CM, PRODUCT_HEIGHT_CM, PRODUCT_WIDTH_CM"
"E_COMMERCE.PRODUCT_CATEGORY_NAME_TRANSLATION","PRODUCT_CATEGORY_NAME, PRODUCT_CATEGORY_NAME_ENGLISH"
"E_COMMERCE.SELLERS","SELLER_ID, SELLER_ZIP_CODE_PREFIX, SELLER_CITY, SELLER_STATE"
"E_COMMERCE.SELLER_ORDER_SUMMARY","SUMMARY_ID, ORDER_ID, ORDER_STATUS, ORDER_PURCHASE_TIMESTAMP, SELLER_ID, SELLER_CITY, SELLER_STATE, PRODUCT_ID, PRICE, FREIGHT_VALUE, PAYMENT_VALUE"
