"TABLE_NAME","COLUMNS"
"ELECTRONIC_SALES.CUSTOMERS","C_INDEX, CUSTOMER_ID, CUSTOMER_UNIQUE_ID, CUSTOMER_ZIP_CODE_PREFIX, CUSTOMER_CITY, CUSTOMER_STATE"
"ELECTRONIC_SALES.GEOLOCATION","C_INDEX, GEOLOCATION_ZIP_CODE_PREFIX, GEOLOCATION_LAT, GEOLOCATION_LNG, GEOLOCATION_CITY, GEOLOCATION_STATE"
"ELECTRONIC_SALES.ORDERS","C_INDEX, ORDER_ID, CUSTOMER_ID, ORDER_STATUS, ORDER_PURCHASE_TIMESTAMP, ORDER_APPROVED_AT, ORDER_DELIVERED_CARRIER_DATE, ORDER_DELIVERED_CUSTOMER_DATE, ORDER_ESTIMATED_DELIVERY_DATE"
"ELECTRONIC_SALES.ORDER_ITEMS","C_INDEX, ORDER_ID, ORDER_ITEM_ID, PRODUCT_ID, SELLER_ID, PRICE, FREIGHT_VALUE, SHIPPING_LIMIT_DATE"
"ELECTRONIC_SALES.ORDER_PAYMENTS","C_INDEX, ORDER_ID, PAYMENT_SEQUENTIAL, PAYMENT_TYPE, PAYMENT_INSTALLMENTS, PAYMENT_VALUE"
"ELECTRONIC_SALES.ORDER_REVIEWS","C_INDEX, REVIEW_ID, ORDER_ID, REVIEW_SCORE, REVIEW_COMMENT_TITLE, REVIEW_COMMENT_MESSAGE, REVIEW_CREATION_DATE, REVIEW_ANSWER_TIMESTAMP"
"ELECTRONIC_SALES.PRODUCTS","C_INDEX, PRODUCT_ID, PRODUCT_CATEGORY_NAME, PRODUCT_NAME_LENGTH, PRODUCT_DESCRIPTION_LENGTH, PRODUCT_PHOTOS_QTY, PRODUCT_WEIGHT_G, PRODUCT_LENGTH_CM, PRODUCT_HEIGHT_CM, PRODUCT_WIDTH_CM"
"ELECTRONIC_SALES.PRODUCT_CATEGORY_NAME_TRANSLATION","C_INDEX, PRODUCT_CATEGORY_NAME, PRODUCT_CATEGORY_NAME_ENGLISH"
"ELECTRONIC_SALES.SELLERS","C_INDEX, SELLER_ID, SELLER_ZIP_CODE_PREFIX, SELLER_CITY, SELLER_STATE"

