"TABLE_NAME","COLUMNS"
"NORTHWIND.CUSTOMERS","CUSTOMER_ID, COMPANY_NAME, CONTACT_NAME, CONTACT_TITLE, ADDRESS, CITY, REGION, POSTAL_CODE, COUNTRY, PHONE, FAX"
"NORTHWIND.CUSTOMER_CUSTOMER_DEMO","CUSTOMER_ID, CUSTOMER_TYPE_ID"
"NORTHWIND.CUSTOMER_DEMOGRAPHICS","CUSTOMER_TYPE_ID, CUSTOMER_DESC"
"NORTHWIND.CUSTOMER_GROUP_THRESHOLD","GROUP_NAME, RANGE_BOTTOM, RANGE_TOP"
"NORTHWIND.EMPLOYEES","EMPLOYEE_ID, LAST_NAME, FIRST_NAME, TITLE, TITLE_OF_COURTESY, BIRTH_DATE, HIRE_DATE, ADDRESS, CITY, REGION, POSTAL_CODE, COUNTRY, HOME_PHONE, EXTENSION, PHOTO, NOTES, REPORTS_TO, PHOTO_PATH"
"NORTHWIND.EMPLOYEE_TERRITORIES","EMPLOYEE_ID, TERRITORY_ID"
"NORTHWIND.ORDERS","ORDER_ID, CUSTOMER_ID, EMPLOYEE_ID, ORDER_DATE, REQUIRED_DATE, SHIPPED_DATE, SHIP_VIA, FREIGHT, SHIP_NAME, SHIP_ADDRESS, SHIP_CITY, SHIP_REGION, SHIP_POSTAL_CODE, SHIP_COUNTRY"
"NORTHWIND.ORDER_DETAILS","ORDER_ID, PRODUCT_ID, UNIT_PRICE, QUANTITY, DISCOUNT"
"NORTHWIND.PRODUCTS","PRODUCT_ID, PRODUCT_NAME, SUPPLIER_ID, CATEGORY_ID, QUANTITY_PER_UNIT, UNIT_PRICE, UNITS_IN_STOCK, UNITS_ON_ORDER, REORDER_LEVEL, DISCONTINUED"
"NORTHWIND.REGION","REGION_ID, REGION_DESCRIPTION"
"NORTHWIND.SHIPPERS","SHIPPER_ID, COMPANY_NAME, PHONE"
"NORTHWIND.SUPPLIERS","SUPPLIER_ID, COMPANY_NAME, CONTACT_NAME, CONTACT_TITLE, ADDRESS, CITY, REGION, POSTAL_CODE, COUNTRY, PHONE, FAX, HOME_PAGE"
"NORTHWIND.TERRITORIES","TERRITORY_ID, TERRITORY_DESCRIPTION, REGION_ID"
"NORTHWIND.US_STATES","STATE_ID, STATE_NAME, STATE_ABBR, STATE_REGION"

