"SCHEMA","TABLE_NAME","COLUMNS"
"BANK_SALES_TRADING","BITCOIN_MEMBERS","MEMBER_ID, FIRST_NAME, REGION"
"BANK_SALES_TRADING","BITCOIN_PRICES","TICKER, PRICE, OPEN, HIGH, LOW, VOLUME, CHANGE, MARKET_DATE"
"BANK_SALES_TRADING","BITCOIN_TRANSACTIONS","TXN_ID, MEMBER_ID, TICKER, TXN_TYPE, QUANTITY, PERCENTAGE_FEE, TXN_DATE, TXN_TIME, CREATED_DATE, LAST_UPDATED"
"BANK_SALES_TRADING","BITCOIN_MEMBER_TRADE_PROFILE","PROFILE_ID, MEMBER_ID, FIRST_NAME, REGION, TOTAL_TRADES, TOTAL_BUY, TOTAL_SELL, TOTAL_QTY_TRADED, AVG_FEE_PERCENTAGE, FIRST_TXN_DATE, LAST_TXN_DATE, ACTIVE_TICKERS, COMPLETED_TXN_COUNT, PENDING_TXN_COUNT, MAX_TRADE_QTY, FAVORITE_TICKER"
"BANK_SALES_TRADING","BITCOIN_DAILY_TRADE_STATS","STATS_ID, TICKER, TRADE_DATE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, CLOSE_PRICE, TOTAL_TRADES, TOTAL_QTY, AVG_FEE, TOTAL_BUY_COUNT, TOTAL_SELL_COUNT, PRICE_CHANGE, PRICE_VOLATILITY_SPREAD, TXN_VOLUME_TIER"
"BANK_SALES_TRADING","CLEANED_WEEKLY_SALES","WEEK_DATE_FORMATTED, REGION, PLATFORM, SEGMENT, CUSTOMER_TYPE, TRANSACTIONS, SALES, WEEK_NUMBER, MONTH_NUMBER, CALENDAR_YEAR, AGE_BAND, DEMOGRAPHIC, AVG_TRANSACTION, WEEK_DATE"
"BANK_SALES_TRADING","CUSTOMER_NODES","CUSTOMER_ID, REGION_ID, NODE_ID, START_DATE, END_DATE"
"BANK_SALES_TRADING","CUSTOMER_REGIONS","REGION_ID, REGION_NAME"
"BANK_SALES_TRADING","CUSTOMER_REGION_TXN_DETAIL","DETAIL_ID, CUSTOMER_ID, REGION_ID, REGION_NAME, NODE_ID, TXN_TYPE, TXN_AMOUNT, TXN_DATE, START_DATE, END_DATE, TOTAL_DEPOSITS, TXN_COUNT, AVG_TXN_AMOUNT, ACTIVE_DAYS_AT_NODE"
"BANK_SALES_TRADING","CUSTOMER_TRANSACTIONS","CUSTOMER_ID, TXN_TYPE, TXN_AMOUNT, TXN_DATE"
"BANK_SALES_TRADING","INTEREST_MAP","ID, INTEREST_NAME, INTEREST_SUMMARY, CREATED_AT, LAST_MODIFIED"
"BANK_SALES_TRADING","INTEREST_METRICS","MONTH, YEAR, MONTH_YEAR, INTEREST_ID, COMPOSITION, INDEX_VALUE, RANKING, PERCENTILE_RANKING, CREATED_DATE, LAST_UPDATED"
"BANK_SALES_TRADING","SHOPPING_CART_CAMPAIGN_IDENTIFIER","CAMPAIGN_ID, PRODUCTS, CAMPAIGN_NAME, START_DATE, END_DATE"
"BANK_SALES_TRADING","SHOPPING_CART_EVENTS","VISIT_ID, COOKIE_ID, PAGE_ID, EVENT_TYPE, SEQUENCE_NUMBER, EVENT_TIME"
"BANK_SALES_TRADING","SHOPPING_CART_EVENT_IDENTIFIER","EVENT_TYPE, EVENT_NAME"
"BANK_SALES_TRADING","SHOPPING_CART_PAGE_HIERARCHY","PAGE_ID, PAGE_NAME, PRODUCT_CATEGORY, PRODUCT_ID"
"BANK_SALES_TRADING","SHOPPING_CART_SESSION_SUMMARY","SESSION_ID, USER_ID, COOKIE_ID, VISIT_ID, TOTAL_EVENTS, PAGE_VIEWS, ADD_TO_CART_COUNT, PURCHASE_COUNT, FIRST_EVENT_TIME, LAST_EVENT_TIME, DISTINCT_PRODUCTS_VIEWED, SESSION_DURATION_SECS, CART_ABANDONMENT_FLAG, AVG_PAGE_VIEWS_PER_EVENT"
"BANK_SALES_TRADING","SHOPPING_CART_USERS","USER_ID, COOKIE_ID, START_DATE"
"BANK_SALES_TRADING","VEG_CAT","C_INDEX, ITEM_CODE, ITEM_NAME, CATEGORY_CODE, CATEGORY_NAME"
"BANK_SALES_TRADING","VEG_ITEM_PROFIT_SUMMARY","PROFIT_ID, ITEM_CODE, ITEM_NAME, CATEGORY_CODE, CATEGORY_NAME, AVG_SELLING_PRICE, AVG_WHOLESALE_PRICE, LOSS_RATE, GROSS_MARGIN_RMB, TOTAL_QTY_SOLD, TOTAL_REVENUE, TOTAL_DISCOUNTS, NET_PROFIT_ESTIMATE, TOTAL_RETURN_QTY, PROFIT_MARGIN_PCT"
"BANK_SALES_TRADING","VEG_LOSS_RATE_DF","C_INDEX, ITEM_CODE, ITEM_NAME, LOSS_RATE__"
"BANK_SALES_TRADING","VEG_TXN_DF","C_INDEX, TXN_TIME, ITEM_CODE, QTY_SOLD_KG_, UNIT_SELLING_PX_RMB_KG, SALE_RETURN, DISCOUNT___, DAY_OF_WEEK, TXN_DATE, CREATED_DATE, LAST_UPDATED"
"BANK_SALES_TRADING","VEG_WHSLE_DF","C_INDEX, ITEM_CODE, WHSLE_PX_RMB_KG, WHSLE_DATE"
"BANK_SALES_TRADING","WEEKLY_SALES","REGION, PLATFORM, SEGMENT, CUSTOMER_TYPE, TRANSACTIONS, SALES, WEEK_DATE"

