"SCHEMA","TABLE_NAME","COLUMNS"
"SDOH_CDC_WONDER_NATALITY","COUNTY_NATALITY","YEAR, COUNTY_OF_RESIDENCE, COUNTY_OF_RESIDENCE_FIPS, BIRTHS, AVE_AGE_OF_MOTHER, AVE_OE_GESTATIONAL_AGE_WKS, AVE_LMP_GESTATIONAL_AGE_WKS, AVE_BIRTH_WEIGHT_GMS, AVE_PRE_PREGNANCY_BMI, AVE_NUMBER_OF_PRENATAL_WKS"
"SDOH_CDC_WONDER_NATALITY","COUNTY_NATALITY_BY_ABNORMAL_CONDITIONS","YEAR, COUNTY_OF_RESIDENCE, COUNTY_OF_RESIDENCE_FIPS, ABNORMAL_CONDITIONS_CHECKED_DESC, ABNORMAL_CONDITIONS_CHECKED_YN, BIRTHS, AVE_AGE_OF_MOTHER, AVE_OE_GESTATIONAL_AGE_WKS, AVE_LMP_GESTATIONAL_AGE_WKS, AVE_BIRTH_WEIGHT_GMS, AVE_PRE_PREGNANCY_BMI, AVE_NUMBER_OF_PRENATAL_WKS"
"SDOH_CDC_WONDER_NATALITY","COUNTY_NATALITY_BY_CONGENITAL_ABNORMALITIES","YEAR, COUNTY_OF_RESIDENCE, COUNTY_OF_RESIDENCE_FIPS, CONGENITAL_ABNORMALITY_CHECKED_DESC, CONGENITAL_ABNORMALITY_CHECKED_YN, BIRTHS, AVE_AGE_OF_MOTHER, AVE_OE_GESTATIONAL_AGE_WKS, AVE_LMP_GESTATIONAL_AGE_WKS, AVE_BIRTH_WEIGHT_GMS, AVE_PRE_PREGNANCY_BMI, AVE_NUMBER_OF_PRENATAL_WKS"
"SDOH_CDC_WONDER_NATALITY","COUNTY_NATALITY_BY_FATHER_RACE","YEAR, COUNTY_OF_RESIDENCE, COUNTY_OF_RESIDENCE_FIPS, FATHERS_SINGLE_RACE, FATHERS_SINGLE_RACE_CODE, BIRTHS, AVE_AGE_OF_MOTHER, AVE_OE_GESTATIONAL_AGE_WKS, AVE_LMP_GESTATIONAL_AGE_WKS, AVE_BIRTH_WEIGHT_GMS, AVE_PRE_PREGNANCY_BMI, AVE_NUMBER_OF_PRENATAL_WKS"
"SDOH_CDC_WONDER_NATALITY","COUNTY_NATALITY_BY_MATERNAL_MORBIDITY","YEAR, COUNTY_OF_RESIDENCE, COUNTY_OF_RESIDENCE_FIPS, MATERNAL_MORBIDITY_DESC, MATERNAL_MORBIDITY_YN, BIRTHS, AVE_AGE_OF_MOTHER, AVE_OE_GESTATIONAL_AGE_WKS, AVE_LMP_GESTATIONAL_AGE_WKS, AVE_BIRTH_WEIGHT_GMS, AVE_PRE_PREGNANCY_BMI, AVE_NUMBER_OF_PRENATAL_WKS"
"SDOH_CDC_WONDER_NATALITY","COUNTY_NATALITY_BY_MOTHER_RACE","YEAR, COUNTY_OF_RESIDENCE, COUNTY_OF_RESIDENCE_FIPS, MOTHERS_SINGLE_RACE, MOTHERS_SINGLE_RACE_CODE, BIRTHS, AVE_AGE_OF_MOTHER, AVE_OE_GESTATIONAL_AGE_WKS, AVE_LMP_GESTATIONAL_AGE_WKS, AVE_BIRTH_WEIGHT_GMS, AVE_PRE_PREGNANCY_BMI, AVE_NUMBER_OF_PRENATAL_WKS"
"SDOH_CDC_WONDER_NATALITY","COUNTY_NATALITY_BY_PAYMENT","YEAR, COUNTY_OF_RESIDENCE, COUNTY_OF_RESIDENCE_FIPS, SOURCE_OF_PAYMENT, SOURCE_OF_PAYMENT_CODE, BIRTHS, AVE_AGE_OF_MOTHER, AVE_OE_GESTATIONAL_AGE_WKS, AVE_LMP_GESTATIONAL_AGE_WKS, AVE_BIRTH_WEIGHT_GMS, AVE_PRE_PREGNANCY_BMI, AVE_NUMBER_OF_PRENATAL_WKS"
"SDOH_CDC_WONDER_NATALITY","PAYMENT_SOURCE_REF","PAYMENT_SOURCE_CODE, PAYMENT_SOURCE_DESC"
"SDOH_CDC_WONDER_NATALITY","RACE_CATEGORY_REF","RACE_CODE, RACE_DESC"
"SDOH_CDC_WONDER_NATALITY","ABNORMAL_CONDITION_REF","ABNORMAL_ID, ABNORMAL_CONDITION_DESC, IS_CHECKED"
"SDOH_CDC_WONDER_NATALITY","CONGENITAL_ABNORMALITY_REF","CONGENITAL_ID, CONGENITAL_ABNORMALITY_DESC, IS_CHECKED"
