"SCHEMA","TABLE_NAME","COLUMNS"
"CMS_MEDICARE","HOME_HEALTH_AGENCIES","PROVIDER_ID, AGENCY_NAME, STREET_ADDRESS, CITY, STATE, ZIP_CODE, TOTAL_EPISODES_NON_LUPA, DISTINCT_BENEFICIARIES_NON_LUPA, AVERAGE_NUMBER_OF_TOTAL_VISITS_PER_EPISODE_NON_LUPA, AVERAGE_NUMBER_OF_SKILLED_NURSING_VISITS_PER_EPISODE_NON_LUPA, AVERAGE_NUMBER_OF_PT_VISITS_PER_EPISODE_NON_LUPA, AVERAGE_NUMBER_OF_OT_VISITS_PER_EPISODE_NON_LUPA, AVERAGE_NUMBER_OF_ST_VISITS_PER_EPISODE_NON_LUPA, AVERAGE_NUMBER_OF_HOME_HEALTH_AIDE_VISITS_PER_EPISODE_NON_LUPA, AVERAGE_NUMBER_OF_MEDICAL_SOCIAL_VISITS_PER_EPISODE_NON_LUPA, TOTAL_HHA_CHARGE_AMOUNT_NON_LUPA, TOTAL_HHA_MEDICARE_PAYMENT_AMOUNT_NON_LUPA, TOTAL_HHA_MEDICARE_STANDARD_PAYMENT_AMOUNT_NON_LUPA, OUTLIER_PAYMENTS_AS_A_PERCENT_OF_MEDICARE_PAYMENT_AMOUNT_NON_LUPA, TOTAL_LUPA_EPISODES, TOTAL_HHA_MEDICARE_PAYMENT_AMOUNT_FOR_LUPAS, AVERAGE_AGE, MALE_BENEFICIARIES, FEMALE_BENEFICIARIES, NONDUAL_BENEFICIARIES, DUA_BENEFICIARIES, WHITE_BENEFICIARIES, BLACK_BENEFICIARIES, ASIAN_PACIFIC_ISLANDER_BENEFICIARIES, HISPANIC_BENEFICIARIES, AMERICAN_INDIAN_OR_ALASKA_NATIVE_BENEFICIARIES, OTHER_UNKNOWN_BENEFICIARIES, AVERAGE_HCC_SCORE, PERCENT_OF_BENEFICIARIES_WITH_ATRIAL_FIBRILLATION, PERCENT_OF_BENEFICIARIES_WITH_ALZHEIMERS, PERCENT_OF_BENEFICIARIES_WITH_ASTHMA, PERCENT_OF_BENEFICIARIES_WITH_CANCER, PERCENT_OF_BENEFICIARIES_WITH_CHF, PERCENT_OF_BENEFICIARIES_WITH_CHRONIC_KIDNEY_DISEASE, PERCENT_OF_BENEFICIARIES_WITH_COPD, PERCENT_OF_BENEFICIARIES_WITH_DEPRESSION, PERCENT_OF_BENEFICIARIES_WITH_DIABETES, PERCENT_OF_BENEFICIARIES_WITH_HYPERLIPIDEMIA, PERCENT_OF_BENEFICIARIES_WITH_HYPERTENSION, PERCENT_OF_BENEFICIARIES_WITH_IHD, PERCENT_OF_BENEFICIARIES_WITH_OSTEOPOROSIS, PERCENT_OF_BENEFICIARIES_WITH_RA_OA, PERCENT_OF_BENEFICIARIES_WITH_SCHIZOPHRENIA, PERCENT_OF_BENEFICIARIES_WITH_STROKE"
"CMS_MEDICARE","HOSPICE_PROVIDERS","PROVIDER_ID, NAME, STREET_ADDRESS, CITY, STATE, ZIP_CODE, HRR, HOSPICE_BENEFICIARIES, TOTAL_DAYS, TOTAL_MEDICARE_PAYMENT_AMOUNT, TOTAL_MEDICARE_STANDARD_PAYMENT_AMOUNT, TOTAL_CHARGE_AMOUNT, PERCENT_ROUTINE_HOME_CARE_DAYS, PHYSICIAN_SERVICES, HOME_HEALTH_VISIT_HOURS_PER_DAY, SKILLED_NURSING_VISIT_HOURS_PER_DAY, SOCIAL_SERVICE_VISIT_HOURS_PER_DAY, TOTAL_LIVE_DISCHARGES, HOSPICE_BENEFICIARIES_WITH_SEVEN_OR_FEWER_HOSPICE_CARE_DAYS, HOSPICE_BENEFICIARIES_WITH_MORE_THAN_SIXTY_HOSPICE_CARE_DAYS, HOSPICE_BENEFICIARIES_WITH_MORE_THAN_ONE_HUNDRED_EIGHTY_HOSPICE_CARE_DAYS, HOME_HEALTH_VISIT_HOURS_PER_DAY_DURING_WEEK_PRIOR_TO_DEATH, SKILLED_NURSING_VISIT_HOURS_PER_DAY_DURING_WEEK_PRIOR_TO_DEATH, SOCIAL_SERVICE_VISIT_HOURS_PER_DAY_DURING_WEEK_PRIOR_TO_DEATH, AVERAGE_AGE, MALE_HOSPICE_BENEFICIARIES, FEMALE_HOSPICE_BENEFICIARIES, WHITE_HOSPICE_BENEFICIARIES, BLACK_HOSPICE_BENEFICIARIES, ASIAN_HOSPICE_BENEFICIARIES, HISPANIC_HOSPICE_BENEFICIARIES, OTHER_UNKNOWN_RACE_HOSPICE_BENEFICIARIES, MEDICARE_ADVANTAGE_HOSPICE_BENEFICIARIES, MEDICAID_ELIGIBLE_HOSPICE_BENEFICIARIES, HOSPICE_BENEFICIARIES_WITH_A_PRIMARY_DIAGNOSIS_OF_CANCER, HOSPICE_BENEFICIARIES_WITH_A_PRIMARY_DIAGNOSIS_OF_DEMENTIA, HOSPICE_BENEFICIARIES_WITH_A_PRIMARY_DIAGNOSIS_OF_STROKE, HOSPICE_BENEFICIARIES_WITH_A_PRIMARY_DIAGNOSIS_OF_CIRCULATORY_HEART_DISEASE, HOSPICE_BENEFICIARIES_WITH_A_PRIMARY_DIAGNOSIS_OF_RESPIRATORY_DISEASE, HOSPICE_BENEFICIARIES_WITH_OTHER_PRIMARY_DIAGNOSES, SITE_OF_SERVICE_HOME_HOSPICE_BENEFICIARIES, SITE_OF_SERVICE_ASSISTED_LIVING_FACILITY_HOSPICE_BENEFICIARIES, SITE_OF_SERVICE_LONG_TERM_CARE_OR_NON_SKILLED_NURSING_FACILITY_HOSPICE_BENEFICIARIES, SITE_OF_SERVICE_SKILLED_NURSING_FACILITY_HOSPICE_BENEFICIARIES, SITE_OF_SERVICE_INPATIENT_HOSPITAL_HOSPICE_BENEFICIARIES, SITE_OF_SERVICE_INPATIENT_HOSPICE_HOSPICE_BENEFICIARIES, SITE_OF_SERVICE_OTHER_FACILITY_HOSPICE_BENEFICIARIES"
"CMS_MEDICARE","HOSPITAL_GENERAL_INFO","PROVIDER_ID, HOSPITAL_NAME, ADDRESS, CITY, STATE, ZIP_CODE, COUNTY_NAME, PHONE_NUMBER, HOSPITAL_TYPE, HOSPITAL_OWNERSHIP, EMERGENCY_SERVICES, MEETS_CRITERIA_FOR_PROMOTING_INTEROPERABILITY_OF_EHRS, HOSPITAL_OVERALL_RATING, HOSPITAL_OVERALL_RATING_FOOTNOTE, MORTALITY_GROUP_MEASURE_COUNT, FACILITY_MORTALITY_MEASURES_COUNT, MORTALITY_MEASURES_BETTER_COUNT, MORTALITY_MEASURES_NO_DIFFERENT_COUNT, MORTALITY_MEASURES_WORSE_COUNT, MORTALITY_GROUP_FOOTNOTE, SAFETY_MEASURES_COUNT, FACILITY_CARE_SAFETY_MEASURES_COUNT, SAFETY_MEASURES_BETTER_COUNT, SAFETY_MEASURES_NO_DIFFERENT_COUNT, SAFETY_MEASURES_WORSE_COUNT, SAFETY_GROUP_FOOTNOTE, READMISSION_MEASURES_COUNT, FACILITY_READMISSION_MEASURES_COUNT, READMISSION_MEASURES_BETTER_COUNT, READMISSION_MEASURES_NO_DIFFERENT_COUNT, READMISSION_MEASURES_WORSE_COUNT, READMISSION_MEASURES_FOOTNOTE, PATIENT_EXPERIENCE_MEASURES_COUNT, FACILITY_PATIENT_EXPERIENCE_MEASURES_COUNT, PATIENT_EXPERIENCE_MEASURES_FOOTNOTE, TIMELY_AND_EFFECTIVE_CARE_MEASURES_COUNT, FACILITY_TIMELY_AND_EFFECTIVE_CARE_MEASURES_COUNT, TIMELY_AND_EFFECTIVE_CARE_MEASURES_FOOTNOTE"
"CMS_MEDICARE","INPATIENT_CHARGES","PROVIDER_ID, PROVIDER_NAME, PROVIDER_STREET_ADDRESS, PROVIDER_CITY, PROVIDER_STATE, PROVIDER_ZIP_CODE, DRG_DEFINITION, HOSPITAL_REFERRAL_REGION_DESCRIPTION, TOTAL_DISCHARGES, AVERAGE_COVERED_CHARGES, AVERAGE_TOTAL_PAYMENTS, AVERAGE_MEDICARE_PAYMENTS"
"CMS_MEDICARE","NURSING_FACILITIES","PROVIDER_ID, FACILITY_NAME, STREET_ADDRESS, CITY, STATE, ZIP_CODE, TOTAL_STAYS, DISTINCT_BENEFICIARIES_PER_PROVIDER, AVERAGE_LENGTH_OF_STAYS_DAYS, TOTAL_SNF_CHARGE_AMOUNT, TOTAL_SNF_MEDICARE_ALLOWED_AMOUNT, TOTAL_SNF_MEDICARE_PAYMENT_AMOUNT, TOTAL_SNF_MEDICARE_STANDARD_PAYMENT_AMOUNT, AVERAGE_AGE, MALE_BENEFICIARIES, FEMALE_BENEFICIARIES, NONDUAL_BENEFICIARIES, DUAL_BENEFICIARIES, WHITE_BENEFICIARIES, BLACK_BENEFICIARIES, ASIAN_PACIFIC_ISLANDER_BENEFICIARIES, HISPANIC_BENEFICIARIES, AMERICAN_INDIAN_OR_ALASKA_NATIVE_BENEFICIARIES, OTHER_UNKNOWN_BENEFICIARIES, AVERAGE_HCC_SCORE, PERCENT_OF_BENEFICIARIES_WITH_ATRIAL_FIBRILLATION, PERCENT_OF_BENEFICIARIES_WITH_ALZHEIMERS, PERCENT_OF_BENEFICIARIES_WITH_ASTHMA, PERCENT_OF_BENEFICIARIES_WITH_CANCER, PERCENT_OF_BENEFICIARIES_WITH_CHF, PERCENT_OF_BENEFICIARIES_WITH_CHRONIC_KIDNEY_DISEASE, PERCENT_OF_BENEFICIARIES_WITH_COPD, PERCENT_OF_BENEFICIARIES_WITH_DEPRESSION, PERCENT_OF_BENEFICIARIES_WITH_DIABETES, PERCENT_OF_BENEFICIARIES_WITH_HYPERLIPIDEMIA, PERCENT_OF_BENEFICIARIES_WITH_HYPERTENSION, PERCENT_OF_BENEFICIARIES_WITH_IHD, PERCENT_OF_BENEFICIARIES_WITH_OSTEOPOROSIS, PERCENT_OF_BENEFICIARIES_WITH_RA_OA, PERCENT_OF_BENEFICIARIES_WITH_SCHIZOPHRENIA, PERCENT_OF_BENEFICIARIES_WITH_STROKE"
"CMS_MEDICARE","OUTPATIENT_CHARGES","PROVIDER_ID, PROVIDER_NAME, PROVIDER_STREET_ADDRESS, PROVIDER_CITY, PROVIDER_STATE, PROVIDER_ZIP_CODE, APC, HOSPITAL_REFERRAL_REGION, OUTPATIENT_SERVICES, AVERAGE_ESTIMATED_SUBMITTED_CHARGES, AVERAGE_TOTAL_PAYMENTS"
"CMS_MEDICARE","PART_D_PRESCRIBER","NPI, NPPES_PROVIDER_LAST_ORG_NAME, NPPES_PROVIDER_FIRST_NAME, NPPES_PROVIDER_CITY, NPPES_PROVIDER_STATE, SPECIALTY_DESCRIPTION, DESCRIPTION_FLAG, DRUG_NAME, GENERIC_NAME, BENE_COUNT, TOTAL_CLAIM_COUNT, TOTAL_DAY_SUPPLY, TOTAL_DRUG_COST, BENE_COUNT_GE65, BENE_COUNT_GE65_SUPPRESS_FLAG, TOTAL_CLAIM_COUNT_GE65, GE65_SUPPRESS_FLAG, TOTAL_DAY_SUPPLY_GE65, TOTAL_DRUG_COST_GE65, TOTAL_30_DAY_FILL_COUNT, TOTAL_30_DAY_FILL_COUNT_GE65"
"CMS_MEDICARE","PHYSICIANS_AND_OTHER_SUPPLIER","NPI, NPPES_PROVIDER_LAST_ORG_NAME, NPPES_PROVIDER_FIRST_NAME, NPPES_PROVIDER_MI, NPPES_CREDENTIALS, NPPES_PROVIDER_GENDER, NPPES_ENTITY_CODE, NPPES_PROVIDER_STREET1, NPPES_PROVIDER_STREET2, NPPES_PROVIDER_CITY, NPPES_PROVIDER_ZIP, NPPES_PROVIDER_STATE, NPPES_PROVIDER_COUNTRY, PROVIDER_TYPE, MEDICARE_PARTICIPATION_INDICATOR, PLACE_OF_SERVICE, HCPCS_CODE, HCPCS_DESCRIPTION, HCPCS_DRUG_INDICATOR, LINE_SRVC_CNT, BENE_UNIQUE_CNT, BENE_DAY_SRVC_CNT, AVERAGE_MEDICARE_ALLOWED_AMT, AVERAGE_SUBMITTED_CHRG_AMT, AVERAGE_MEDICARE_PAYMENT_AMT, AVERAGE_MEDICARE_STANDARD_AMT"
"CMS_MEDICARE","PROVIDER_TYPE_REF","PROVIDER_TYPE_CODE, PROVIDER_TYPE_DESC"
"CMS_MEDICARE","PLACE_OF_SERVICE_REF","POS_CODE, POS_DESCRIPTION"
"CMS_MEDICARE","DRUG_REF","DRUG_ID, DRUG_NAME, GENERIC_NAME"
"CMS_MEDICARE","SPECIALTY_REF","SPECIALTY_ID, SPECIALTY_DESCRIPTION, DESCRIPTION_FLAG"
"CMS_MEDICARE","HRR_REGION_REF","HRR_CODE, HRR_DESCRIPTION"

