"SCHEMA","TABLE_NAME","COLUMNS"
"SYNTHEA","ALLERGIES","START_DATE, STOP_DATE, PATIENT, ENCOUNTER, CODE, DESCRIPTION"
"SYNTHEA","CAREPLANS","ID, START_DATE, STOP_DATE, PATIENT, ENCOUNTER, CODE, DESCRIPTION, REASON_CODE, REASON_DESCRIPTION"
"SYNTHEA","CONDITIONS","START_DATE, STOP_DATE, PATIENT, ENCOUNTER, CODE, DESCRIPTION"
"SYNTHEA","DEVICES","START_TIMESTAMP, STOP_TIMESTAMP, PATIENT, ENCOUNTER, CODE, DESCRIPTION, UDI"
"SYNTHEA","ENCOUNTERS","ID, START_TIMESTAMP, STOP_TIMESTAMP, PATIENT, ORGANIZATION, PROVIDER, PAYER, ENCOUNTER_CLASS, CODE, DESCRIPTION, BASE_ENCOUNTER_COST, TOTAL_CLAIM_COST, PAYER_COVERAGE, REASON_CODE, REASON_DESCRIPTION"
"SYNTHEA","IMAGING_STUDIES","ID, DATE_TIMESTAMP, PATIENT, ENCOUNTER, BODYSITE_CODE, BODYSITE_DESCRIPTION, MODALITY_CODE, MODALITY_DESCRIPTION, SOP_CODE, SOP_DESCRIPTION"
"SYNTHEA","IMMUNIZATIONS","DATE_TIMESTAMP, PATIENT, ENCOUNTER, CODE, DESCRIPTION, BASE_COST"
"SYNTHEA","MEDICATIONS","START_TIMESTAMP, STOP_TIMESTAMP, PATIENT, PAYER, ENCOUNTER, CODE, DESCRIPTION, BASE_COST, PAYER_COVERAGE, DISPENSES, TOTAL_COST, REASON_CODE, REASON_DESCRIPTION"
"SYNTHEA","OBSERVATIONS","DATE_TIMESTAMP, PATIENT, ENCOUNTER, CODE, DESCRIPTION, VALUE, UNITS, TYPE"
"SYNTHEA","ORGANIZATIONS","ID, NAME, ADDRESS, CITY, STATE, ZIP, LAT, LON, PHONE, REVENUE, UTILIZATION"
"SYNTHEA","PATIENTS","ID, BIRTHDATE, DEATHDATE, SSN, DRIVERS, PASSPORT, PREFIX, FIRST, LAST, SUFFIX, MAIDEN, MARITAL, RACE, ETHNICITY, GENDER, BIRTHPLACE, ADDRESS, CITY, STATE, COUNTY, ZIP, LAT, LON, HEALTHCARE_EXPENSES, HEALTHCARE_COVERAGE"
"SYNTHEA","PAYERS","ID, NAME, ADDRESS, CITY, STATE_HEADQUARTERED, ZIP, PHONE, AMOUNT_COVERED, AMOUNT_UNCOVERED, REVENUE, COVERED_ENCOUNTERS, UNCOVERED_ENCOUNTERS, COVERED_MEDICATIONS, UNCOVERED_MEDICATIONS, COVERED_PROCEDURES, UNCOVERED_PROCEDURES, COVERED_IMMUNIZATIONS, UNCOVERED_IMMUNIZATIONS, UNIQUE_CUSTOMERS, QOLS_AVG, MEMBER_MONTHS"
"SYNTHEA","PAYER_TRANSITIONS","PATIENT, START_YEAR, END_YEAR, PAYER, OWNERSHIP"
"SYNTHEA","PROCEDURES","DATE_TIMESTAMP, PATIENT, ENCOUNTER, CODE, DESCRIPTION, BASE_COST, REASON_CODE, REASON_DESCRIPTION"
"SYNTHEA","PROVIDERS","ID, ORGANIZATION, NAME, GENDER, SPECIALTY, ADDRESS, CITY, STATE, ZIP, LAT, LON, UTILIZATION"
"SYNTHEA","GENDER_REF","GENDER_CODE, GENDER_DESC, GENDER_SHORT"
"SYNTHEA","MARITAL_STATUS_REF","MARITAL_CODE, MARITAL_DESC"

